"","X","subject","item","list","subexpt","integrated","related","n2num","text","animacy","maincode","dysfluency","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","Plausibility","errnd","errd","errcornd","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"1622",1622,146,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1623",1623,226,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1624",1624,114,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1625",1625,162,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1626",1626,170,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1627",1627,234,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1628",1628,26,21,2,"SemRel","integ","unrel","plur","The guitar with the faulty pedals","I",0,"",6,4,6,6,5,3,5,6,2,1,2,2,15.53,5044.84,1.63,0.75,1.22,3.7,0.42,0.24,3.75,3.13,4.08,7,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,2.5,0,0,7,0,0,0.542512665208959,-0.798233560788519,-0.0772121089290216,-0.308661047602796
"1629",1629,152,21,8,"SemRel","integ","rel","plur","The guitar with the faulty strings","I",0,"D",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,6,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0,5.92,0,0,5,11.6666666666667,13.75,1.52339790537459,-0.781962998611336,0.433214271418276,0.567711166620038
"1630",1630,216,21,8,"SemRel","integ","rel","plur","The guitar with the faulty strings","I",0,"",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,6,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0,5.92,0,0,5,11.6666666666667,13.75,1.52339790537459,-0.781962998611336,0.433214271418276,0.567711166620038
"1631",1631,8,21,8,"SemRel","integ","rel","plur","The guitar with the faulty strings","I",0,"",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,6,0,0,0,0,0,0,20,0,3,20,0,2,20,5,0,20,0,0,20,4,0,20,4,0,5.92,0,0,5,11.6666666666667,13.75,1.52339790537459,-0.781962998611336,0.433214271418276,0.567711166620038
