"","X","item","list","subexpt","integrated","related","n2num","text","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Plausibility","errnd","errd","errcornd","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"187",187,139,4,"Prop","unint","assoc","plur","The tree near the closed forts","I",4,4,6,5,3,3,5,5,1,1,1,1,64.12,59.14,7.59,0.39,1.81,1.78,0.93,0.14,3.25,4.08,2.92,5.31,2,3,13,15,0,0,5,0,2.5,0,40,0,0,40,0,0,20,0,0,20,2,0,20,0,0,20,1,0,1.25,2.5,-0.330293380272473,-0.0516370988503305,-0.00988709326688043,-0.739432014263332
"188",188,139,2,"Prop","unint","rel","plur","The tree near the cut limbs","I",4,4,3,5,3,3,3,4,1,1,1,1,64.12,59.14,0.49,2.59,1.81,1.78,0.17,0.55,5.79,6.04,4.46,5.69,1,2,12,16,0,0,8.75,0,11.25,2.5,40,0,0,40,0,0,40,4,0,40,3,0,40,8,0,40,1,2,6.25,9.375,-0.249238669226789,0.793373123414528,-0.069839578434618,1.80056798573667
"189",189,139,6,"Prop","unint","unrel","plur","The tree near the closed gates","I",4,4,6,5,3,3,5,4,1,1,1,1,64.12,59.14,7.59,9.27,1.81,1.78,0.93,1.01,2.42,2,2.67,5.25,0,0,13,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.103551415771653,-0.606476420646574,0.00970367944541174,-1.56943201426333
"190",190,140,4,"Prop","unint","assoc","plur","The book beside the tall shelves","I",4,6,4,7,3,6,3,5,1,2,1,1,171.55,14.96,32.25,2.71,2.24,1.2,1.52,0.57,5.08,5.17,4.42,5.06,1,1,16,17,0,0,17.5,10,7.5,17.5,40,0,0,40,0,0,20,5,4,20,2,0,20,3,5,20,0,2,11.875,23.75,0.118576746189576,0.0440307918707292,-0.0841065382786931,0.734922193162222
"191",191,140,2,"Prop","unint","rel","plur","The book beside the torn pages","I",4,6,4,5,3,6,4,6,1,2,1,1,171.55,14.96,1.45,13.53,2.24,1.2,0.39,1.16,6.54,6.54,4.83,4.5,0,0,16,17,0,3.75,31.25,1.25,23.75,13.75,40,0,1,40,0,2,40,22,0,40,3,1,40,15,9,40,4,2,22.0833333333333,32.5,-0.310029601004636,1.0707277749423,0.253871523131839,1.1252467480239
"192",192,140,6,"Prop","unint","unrel","plur","The book beside the tall stacks","I",4,6,4,6,3,6,3,5,1,2,1,1,171.55,14.96,32.25,1.82,2.24,1.2,1.52,0.45,5.25,4.08,4.17,4.63,1,1,16,16,0,0,0,5,0,20,40,0,0,40,0,0,20,0,1,20,0,1,20,0,4,20,0,4,3.75,7.5,-0.229069198346736,0.478239948534405,-0.0901638872925352,0.904922193162222
"193",193,141,5,"Prop","unint","assoc","plur","The couch by the thin televisions","I",5,2,4,11,5,3,3,10,1,1,1,4,23.22,1212.84,18.51,0.31,1.38,3.08,1.29,0.12,3.42,3.92,3.08,5,0,0,15,16,1.25,0,0,0,0,0,40,0,0,40,1,0,20,0,0,20,0,0,20,0,0,20,0,0,0.625,1.25,-0.267939324808784,-0.149428616494152,-0.0621782355006682,-0.468083736768207
"194",194,141,3,"Prop","unint","rel","plur","The couch by the thin cushions","I",5,2,4,8,5,3,3,6,1,1,1,2,23.22,1212.84,18.51,1.16,1.38,3.08,1.29,0.33,6.13,5.33,4.25,4.94,0,0,18,18,3.75,1.25,25,0,23.75,1.25,40,0,1,40,3,0,40,12,0,40,8,0,40,14,1,40,5,0,16.25,23.75,-0.654530558299412,1.30589740532963,-0.0484481352788366,1.52694184051011
"195",195,141,1,"Prop","unint","unrel","plur","The couch by the big treadmills","I",5,2,3,10,5,3,3,8,1,1,1,2,23.22,1212.84,680.06,0.06,1.38,3.08,2.83,0.02,1.67,2.42,2.64,5.44,0,0,15,16,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.297239516006197,-1.42758541102617,0.0710218842822819,-2.21808373676821
"196",196,142,5,"Prop","unint","assoc","plur","The sneaker beside the pink socks","I",7,6,4,5,6,6,4,4,2,2,1,1,0.67,14.96,26.96,18.25,0.22,1.2,1.45,1.28,5.67,6,4.67,5.88,3,4,14,16,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.0296878798576676,0.410822116567607,-0.0410647154985878,1.41310432935261
"197",197,142,3,"Prop","unint","rel","plur","The sneaker beside the pink shoelaces","I",7,6,4,9,6,6,4,7,2,2,1,3,0.67,14.96,26.96,1,0.22,1.2,1.45,0.3,6.17,6,4.96,5.81,2,2,7,8,0,0,3.75,0,0,2.5,40,0,0,40,0,0,40,1,0,40,2,0,40,0,0,40,0,2,1.25,1.875,0.0324939253391019,0.597146930348188,-0.0487737389192389,1.91310432935261
"198",198,142,1,"Prop","unint","unrel","plur","The sneaker beside the pink skis","I",7,6,4,4,6,6,4,4,2,2,1,1,0.67,14.96,26.96,1.29,0.22,1.2,1.45,0.36,2.92,3.42,3.25,5.25,1,1,9,10,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.189254629709781,-0.803251109530414,0.00133491331499346,-1.33689567064739
"199",199,143,5,"Prop","unint","assoc","plur","The pencil by the colorful sharpeners","I",6,2,8,10,6,3,8,9,2,1,3,3,9.67,1212.84,3.14,0.04,1.03,3.08,0.62,0.02,5.75,4.92,4.58,5.8,2,2,14,17,1.25,0,35,0,35,7.5,40,0,0,40,1,0,20,12,0,20,2,0,20,12,3,20,2,0,18.75,37.5,-0.106263152865303,0.496923753244139,-0.0663866104066081,1.31919648548872
"200",200,143,3,"Prop","unint","rel","plur","The pencil by the colorful erasers","I",6,2,8,7,6,3,8,7,2,1,3,2,9.67,1212.84,3.14,0.33,1.03,3.08,0.62,0.12,6.33,6.46,4.38,6,0,0,14,15,0,0,27.5,0,22.5,7.5,40,0,0,40,0,0,40,14,0,40,8,0,40,12,5,40,6,1,16.25,24.375,-0.639408140106839,1.28278218609939,-0.0796287347088184,1.89919648548872
"201",201,143,1,"Prop","unint","unrel","plur","The pencil by the colorful staplers","I",6,2,8,8,6,3,8,9,2,1,3,2,9.67,1212.84,3.14,0.04,1.03,3.08,0.62,0.02,4.92,5,2.83,4.56,2,2,13,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-1.37952118836448,1.46818504072756,-0.0474366739051691,0.489196485488723
"202",202,144,5,"Prop","unint","assoc","plur","The backpack on the frayed books","I",8,2,6,5,6,2,4,4,2,1,1,1,3.63,4424.29,0.45,67.53,0.67,3.65,0.16,1.84,5.33,4.67,5.18,3.94,0,0,11,12,2.5,16.25,0,0,0,0,40,1,5,40,1,8,20,0,0,20,0,0,20,0,0,20,0,0,9.375,11.25,0.73497976893029,-0.42841312344587,0.49644024638917,-1.24805239063259
"203",203,144,3,"Prop","unint","rel","plur","The backpack on the frayed straps","I",8,2,6,6,6,2,4,6,2,1,1,1,3.63,4424.29,0.45,1.24,0.67,3.65,0.16,0.35,5.63,5.42,5.04,3.81,0,0,7,8,1.25,1.25,5,0,2.5,0,40,0,1,40,1,0,40,2,0,40,2,0,40,0,0,40,2,0,2.5,3.125,0.422663396219152,0.0294338791694377,-0.149754116269641,1.0981236645286
"204",204,144,1,"Prop","unint","unrel","plur","The backpack on the folded quilts","I",8,2,6,6,6,2,6,6,2,1,2,1,3.63,4424.29,0.51,0.31,0.67,3.65,0.18,0.12,1.83,2.25,2.17,4.19,0,0,15,15,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.264662549439745,-0.534702567216734,0.0887078107419713,-1.9639112008231
"205",205,145,6,"Prop","unint","assoc","plur","The skeleton near the locked closets","I",8,4,6,7,8,3,4,7,3,1,1,2,4.33,59.14,3.98,2.14,0.73,1.78,0.7,0.5,2.83,2.75,3.42,3.5,0,1,14,15,3.75,0,0,0,0,0,40,3,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,1.875,0,0.410949541523123,-1.02320858053546,-0.0320302864609275,-1.02989454656163
"206",206,145,4,"Prop","unint","rel","plur","The skeleton near the large bones","I",8,4,5,5,8,3,5,4,3,1,1,1,4.33,59.14,38.49,30.29,0.73,1.78,1.6,1.5,6.83,6.88,4.66,5.19,0,0,15,16,1.25,20,7.5,0,15,0,40,1,9,40,0,7,40,3,0,40,3,0,40,10,0,40,2,0,13.75,14.375,-0.646602094625406,1.61252841826421,0.414282620137113,-0.0813782531503033
"207",207,145,2,"Prop","unint","unrel","plur","The skeleton near the locked classrooms","I",8,4,6,10,8,3,4,8,3,1,1,2,4.33,59.14,3.98,0.59,0.73,1.78,0.7,0.2,2.36,3,2.58,3.5,0,0,17,17,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.159088141229425,-0.56903041843201,0.0248029470138027,-1.49989454656163
"208",208,146,6,"Prop","unint","assoc","plur","The lamp beside the cheap desks","I",4,6,5,5,4,6,4,5,1,2,1,1,12.82,14.96,36.02,1.02,1.14,1.2,1.57,0.31,4.5,5.08,4.67,5.5,0,0,10,10,2.5,0,5,0,2.5,0,40,0,0,40,2,0,20,2,0,20,0,0,20,0,0,20,1,0,2.5,5,0.701721733431111,-0.687895804954871,-0.114577041708309,0.633398236723659
"209",209,146,4,"Prop","unint","rel","plur","The lamp beside the cheap bulbs","I",4,6,5,5,4,6,4,5,1,2,1,1,12.82,14.96,36.02,1.71,1.14,1.2,1.57,0.43,6.25,6.08,5.19,4.63,0,0,14,14,5,0,3.75,0,0,0,40,0,0,40,4,0,40,0,0,40,3,0,40,0,0,40,0,0,2.91666666666667,4.375,0.21654289261613,0.477229818906204,-0.221690213357427,2.38339823672366
"210",210,146,2,"Prop","unint","unrel","plur","The lamp beside the cheap dolls","I",4,6,5,5,4,6,4,4,1,2,1,1,12.82,14.96,36.02,5.65,1.14,1.2,1.57,0.82,1.17,1.5,2.5,6,0,0,19,20,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.444433470524762,-1.57717004299051,0.0892440220582971,-2.69660176327634
"211",211,147,6,"Prop","unint","assoc","plur","The canoe by the weathered camps","I",5,2,9,5,4,3,6,5,2,1,2,1,3.53,1212.84,0.18,3.76,0.66,3.08,0.07,0.68,3.67,3.67,3.67,5.63,2,2,13,13,3.75,0,0,0,0,0,40,2,0,40,1,0,20,0,0,20,0,0,20,0,0,20,0,0,1.875,1.25,0.178463697931932,-0.496943518322951,-0.0396883914068174,-0.434404409368553
"212",212,147,4,"Prop","unint","rel","plur","The canoe by the weathered oars","I",5,2,9,4,4,3,6,3,2,1,2,1,3.53,1212.84,0.18,1.08,0.66,3.08,0.07,0.32,5.96,5.46,4.83,6.27,0,0,15,15,1.25,0,8.75,0,5,0,40,1,0,40,0,0,40,4,0,40,3,0,40,1,0,40,3,0,3.75,5,0.0231153862368991,0.533723025253674,-0.132685926445564,1.85559559063145
"213",213,147,2,"Prop","unint","unrel","plur","The canoe by the well-worn trails","I",5,2,9,6,4,3,7,5,2,1,2,1,3.53,1212.84,0,1.78,0.66,3.08,0,0.44,4.17,3.75,3.42,5.44,0,0,12,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.358730256586634,0.274464554182086,-0.0599935300615655,0.0655955906314469
"214",214,148,6,"Prop","unint","assoc","plur","The violin beside the pricey bows","I",6,6,6,4,7,6,6,4,3,2,2,1,4.76,14.96,0.63,1.45,0.76,1.2,0.21,0.39,4.92,4.83,5.08,5.44,2,2,11,12,3.75,0,0,0,0,0,40,1,0,40,2,0,20,0,0,20,0,0,20,0,0,20,0,0,1.875,2.5,0.870478811635516,-0.697886194690881,-0.263162306985992,1.15769166182554
"215",215,148,4,"Prop","unint","rel","plur","The violin beside the pricey strings","I",6,6,6,7,7,6,6,7,3,2,2,1,4.76,14.96,0.63,8.1,0.76,1.2,0.21,0.96,6.17,6.17,5,5,0,0,8,9,6.25,11.25,1.25,0,6.25,0,40,2,4,40,3,5,40,1,0,40,0,0,40,3,0,40,2,0,7.5,7.5,0.0724939253391002,0.64409979900301,0.276842423572752,0.10286113080998
"216",216,148,2,"Prop","unint","unrel","plur","The violin beside the pricey bowls","I",6,6,6,5,7,6,6,4,3,2,2,1,4.76,14.96,0.63,2.02,0.76,1.2,0.21,0.48,1.17,1.42,2,5.19,1,1,15,15,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.0555665294752377,-0.906425437476071,0.156823501337775,-2.59230833817446
