"","X","item","list","subexpt","integrated","related","n2num","text","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Plausibility","errnd","errd","errcornd","errcord","AssPercent.HL.S","AssPercent.HL.P","LNSing.HS","LNSing.HP","LNPlur.HS","LNPlurP.HP","TotalHead1","HeadToLocNSS.Match1","HeadToLocNSP.Match1","TotalHead2","HeadToLocNSS.Match2","HeadToLocNSP.Match2","TotalLocNS1","LocNS1ToHeadS","LocNS1toHeadP","TotalLocNS2","LocNS2ToHeadS","LocNS2toHeadP","TotalLocNP1","LocNP1ToHeadS","LocNP1toHeadP","TotalLocNP2","LocNP2ToHeadS","LocNP2ToHeadP","all.asso","local.asso","res.int","res.rel","res.asshl","res.rel2"
"145",145,125,1,"Prop","unint","assoc","plur","The blueprint near the model buildings","I",9,5,5,9,8,4,5,7,2,1,2,2,1.24,59.14,29.98,9.98,0.35,1.78,1.49,1.04,5.25,4.42,4.42,5.06,5,5,15,15,12.5,0,0,0,0,0,40,2,0,40,8,0,20,0,0,20,0,0,20,0,0,20,0,0,6.25,10,0.0209308016532628,0.246037451431433,-0.182983280141267,1.00837047450587
"146",146,125,5,"Prop","unint","rel","plur","The blueprint near the modern drawings","I",9,5,6,8,8,4,6,6,2,1,2,2,1.24,59.14,18.2,4.55,0.35,1.78,1.28,0.74,5.64,5.43,4.13,5.94,1,1,13,13,3.75,0,0,0,0,0,40,1,0,40,2,0,40,0,0,40,0,0,40,0,0,40,0,0,1.25,1.25,-0.493080482871219,0.947397302862112,-0.210045906296605,1.39837047450587
"147",147,125,3,"Prop","unint","unrel","plur","The blueprint near the metal rulers","I",9,5,6,6,8,4,6,6,2,1,2,2,1.24,59.14,19.31,0.53,0.35,1.78,1.31,0.18,5.67,4.33,3.92,5.63,0,0,13,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,-0.720312120142333,1.20286478148433,-0.212127646770093,1.42837047450587
"148",148,126,1,"Prop","unint","assoc","plur","The bike beside the greasy racks","I",4,6,6,5,4,6,5,4,1,2,2,1,25.63,14.96,3.88,0.86,1.43,1.2,0.69,0.27,5.08,4.25,5,5.06,0,0,7,7,1.25,0,0,0,2.5,0,40,1,0,40,0,0,20,0,0,20,0,0,20,1,0,20,0,0,1.25,1.25,0.698576746189575,-0.444109409890778,-0.175830257221505,1.27869849758667
"149",149,126,5,"Prop","unint","rel","plur","The bike beside the greasy tires","I",4,6,6,5,4,6,5,6,1,2,2,2,25.63,14.96,3.88,2.67,1.43,1.2,0.69,0.56,5.67,5.97,4.17,4.75,0,0,10,10,2.5,2.5,2.5,0,0,0,40,1,1,40,1,1,40,2,0,40,0,0,40,0,0,40,0,0,2.5,2.5,-0.470312120142333,1.10136865103021,0.102166712258591,0.797918990346108
"150",150,126,3,"Prop","unint","unrel","plur","The bike beside the greasy towels","I",4,6,6,6,4,6,5,6,1,2,2,2,25.63,14.96,3.88,9.33,1.43,1.2,0.69,1.01,1,1.58,3.18,4,0,0,13,13,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,1.22207941506108,-2.42896474618452,0.114631377560209,-2.80130150241333
"151",151,127,1,"Prop","unint","assoc","plur","The fort near the ancient caves","I",4,4,7,4,4,3,7,3,1,1,2,1,6.61,59.14,21.61,13.49,0.88,1.78,1.35,1.16,2.58,2.75,3,5.47,3,3,19,19,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.134546518782406,-0.700598400090285,0.00533639180224399,-1.26597423493006
"152",152,127,5,"Prop","unint","rel","plur","The fort near the ancient walls","I",4,4,7,5,4,3,7,4,1,1,2,1,6.61,59.14,21.61,24.16,0.88,1.78,1.35,1.4,5.21,4.88,4.04,5.94,1,1,14,14,0,0,0,0,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,0,0,-0.336093681985251,0.75059240869515,-0.0763084037185157,1.36402576506994
"153",153,127,3,"Prop","unint","unrel","plur","The fort near the ancient cliffs","I",4,4,7,6,4,3,7,5,1,1,2,1,6.61,59.14,21.61,2.16,0.88,1.78,1.35,0.5,1.92,2.58,3.42,4.69,0,0,17,17,0,0,0,0,0,0,40,0,0,40,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0.933642538746913,-1.83665595808078,0.0258251998036514,-1.92597423493006
"154",154,128,1,"Prop","unint","assoc","plur","The jar near the sticky cookies","I",3,4,6,7,4,3,5,5,1,1,2,2,8.25,59.14,5.73,17.88,0.97,1.78,0.83,1.28,4.83,5.42,4.58,5.13,3,3,17,18,0,0,0,0,2.5,0,40,0,0,40,0,0,20,0,0,20,0,0,20,1,0,20,0,0,0.625,1.25,0.422173723448857,-0.315089974086732,-0.151580847031734,0.849308501111281
